"Date","Incident/s","Incident Count","Tweet/s","Tweet Count"
"2018-02-12","[631.0, 708.0, 709.0, 710.0, 804.0]","5","[963180830297329664, 963064136656568320, 963046333283164166, 963037280133816321]","4"
"2018-02-13","[688.0, 707.0, 711.0, 770.0, 868.0, 869.0, 870.0, 871.0]","8","[963514911602061312, 963372153721774080, 963248139477032961]","3"
"2018-02-14","[629.0, 695.0, 703.0, 771.0]","4","[963650703158927360, 963643879198248962]","2"
"2018-02-15","[622.0, 628.0, 635.0, 659.0, 732.0, 750.0, 774.0, 775.0, 866.0]","9","[964278744314605568, 964224875882663936, 964190899440930816, 963958345160773632, 963958342845571072]","5"
"2018-02-16","[632.0, 658.0, 680.0, 780.0, 846.0]","5","[964597523590639618, 964488086821380101]","2"
"2018-02-17","[681.0, 702.0, 724.0, 744.0, 814.0]","5","[964971249750257664, 964966118073958402, 964956658353938432, 964901295407509511, 964815337207353344, 964779743324155904, 964714827515027456]","7"
"2018-02-18","[646.0, 648.0, 679.0, 729.0, 851.0]","5","[965369767467954176, 965248200473899008, 965164700345491456, 965154327584280576, 965077684001779712]","5"
"2018-02-19","[612.0, 613.0, 642.0, 643.0, 651.0, 683.0, 684.0, 685.0, 692.0, 693.0, 694.0, 699.0, 704.0, 705.0, 706.0, 821.0]","16","[965728925669146624, 965666851907764229, 965592873453338625, 965531083054899201, 965519373027893248, 965439833735770112]","6"
"2018-02-20","[654.0, 660.0, 689.0, 730.0, 754.0, 791.0, 792.0, 793.0, 794.0, 834.0]","10","[966079808856707072, 966061311875457024, 965988450309611521, 965958160405053440, 965826123350396929]","5"
"2018-02-21","[615.0, 616.0, 618.0, 619.0, 662.0, 696.0, 717.0, 735.0, 736.0, 742.0, 743.0, 745.0, 847.0, 849.0]","14","[966354955648094210, 966244928417394688, 966231551565488128, 966222323832512512, 966149987569623040]","5"
"2018-02-22","[626.0, 714.0, 715.0, 716.0, 748.0, 751.0, 752.0, 825.0, 826.0, 827.0, 828.0, 829.0, 831.0, 832.0]","14","[966771213669359616, 966700133822865408, 966698624833921025]","3"
"2018-02-23","[640.0, 664.0, 678.0, 713.0, 739.0, 763.0, 795.0, 852.0, 874.0, 875.0]","10","[967143572238581761, 967066921966465027, 967027312305741824, 966985532021473282, 966839370320941056]","5"
"2018-02-24","[609.0, 627.0, 656.0, 657.0, 665.0, 666.0, 697.0, 698.0, 712.0, 718.0, 719.0, 720.0, 722.0, 723.0, 725.0, 726.0, 727.0, 731.0, 737.0, 738.0, 762.0, 766.0, 768.0, 769.0, 778.0, 787.0, 797.0]","27","[967521553351983104, 967454116510232577, 967410327561228293, 967405293083635712, 967393084844773381]","5"
"2018-02-25","[624.0, 625.0, 668.0, 686.0, 741.0, 767.0, 789.0, 808.0, 809.0, 858.0, 1172.0]","11","[967888823421038593]","1"
"2018-02-26","[636.0, 788.0, 822.0, 823.0, 841.0]","5","[968164290095063045, 968005207559831552]","2"
"2018-02-27","[839.0, 853.0, 854.0, 872.0, 873.0]","5","[968572232841674752]","1"
"2018-02-28","[620.0, 623.0, 637.0, 638.0, 749.0, 800.0, 801.0, 802.0]","8","[968935090519617536]","1"
"2018-03-01","[216.0, 573.0, 574.0, 575.0, 576.0, 599.0, 602.0, 604.0, 634.0]","9","[969358274087682053, 969270444946837504, 969205610658123777]","3"
"2018-03-02","[571.0, 600.0, 601.0, 608.0, 798.0]","5","[969632626221993984, 969585137041121281]","2"
"2018-03-03","[539.0, 569.0, 570.0, 587.0, 590.0, 594.0, 595.0, 597.0]","8","[969963008930844673, 969947983071535105]","2"
"2018-03-04","[582.0, 585.0, 586.0, 589.0, 591.0, 596.0, 598.0]","7","[970382371337003009, 970371070204112897, 970187851353608192]","3"
"2018-03-05","[552.0, 553.0, 579.0]","3","[970705805992439808, 970550619730620416]","2"
"2018-03-06","[]","0","[970988784522317824, 970986161937133568, 970973651586637825]","3"
"2018-03-07","[528.0]","1","[971388649370738688, 971348873565229057]","2"
"2018-03-08","[522.0, 523.0, 581.0, 592.0]","4","[971895366349070336, 971771913843322882]","2"
"2018-03-09","[534.0]","1","[972258253747847168, 972236279885656064, 972023398737088512, 971994744439021568, 971981187949387777]","5"
"2018-03-10","[532.0, 533.0, 535.0, 545.0, 546.0, 548.0]","6","[972357653245566976, 972344069274746880]","2"
"2018-03-11","[567.0, 572.0]","2","[972951965142577153, 972780904006365186, 972767360527433728, 972746125173194757, 972745615334608896, 972681477581283328]","6"
"2018-03-12","[557.0]","1","[973225319472693248]","1"
"2018-03-13","[549.0, 558.0]","2","[973671390556639232, 973506759326187520]","2"
"2018-03-14","[]","0","[973936307889033216, 973869633512984576, 973814925813604352]","3"
"2018-03-15","[543.0]","1","[974299070498926593, 974292922181992449, 974258958390063104]","3"
"2018-03-16","[]","0","[974755300896059395, 974743635207049216, 974722200589619200, 974621713919954944]","4"
"2018-03-17","[]","0","[975106513365753856, 975044849433919488]","2"
"2018-03-18","[531.0]","1","[975486263871471616, 975468406395650048]","2"
"2018-03-19","[30.0]","1","[975849029710917632, 975831162160496640, 975766942668779520, 975734674877071360, 975661132852682752, 975529731876560896]","6"
"2018-03-20","[]","0","[976181100241346562, 976097565295849472, 976038166271438848]","3"
"2018-03-21","[]","0","[976543878428868608, 976520731235201024, 976414641424293888, 976400933859966976, 976272078620868609, 976254348282875904]","6"
"2018-03-22","[390.0, 560.0]","2","[976924900253368322, 976887220488626177, 976824600532168704, 976723888066514945]","4"
"2018-03-23","[514.0, 516.0, 538.0, 542.0]","4","[977083597864820736]","1"
"2018-03-24","[381.0, 525.0]","2","[977665446076960769]","1"
"2018-03-25","[254.0, 540.0, 551.0, 555.0, 562.0]","5","[978043848747307008, 978026732727951360, 978016423569080320, 977968356186705921, 977895720182263809]","5"
"2018-03-26","[305.0, 563.0]","2","[978284942596628481]","1"
"2018-03-27","[438.0, 462.0, 578.0]","3","[978568464913768449]","1"
"2018-03-28","[439.0]","1","[979078105246478336, 979009685180227584, 978951593071558656, 978903353253089281]","4"
"2018-03-29","[458.0, 459.0, 460.0, 513.0, 517.0, 518.0, 519.0, 541.0]","8","[979380539613310976]","1"
"2018-03-30","[370.0, 561.0, 577.0]","3","[979763799791161344, 979709288066289664, 979678780598796288]","3"
"2018-03-31","[441.0, 450.0, 556.0]","3","[980202576527351808, 980085723171868672]","2"
"2018-04-01","[213.0, 214.0, 215.0, 217.0, 218.0, 219.0, 255.0, 268.0, 425.0, 426.0, 427.0, 444.0, 447.0, 448.0, 449.0]","15","[980507330167975937]","1"
"2018-04-02","[53.0, 239.0, 243.0, 244.0, 271.0, 288.0, 290.0, 291.0, 419.0, 424.0, 453.0, 454.0, 456.0, 483.0, 484.0, 786.0]","16","[980878748521254912, 980811584153923594, 980796740138819584]","3"
"2018-04-03","[246.0, 253.0, 442.0, 455.0, 488.0]","5","[981163412355915776]","1"
"2018-04-04","[231.0, 232.0, 233.0, 234.0, 235.0, 236.0, 237.0, 238.0, 241.0, 445.0, 446.0, 461.0]","12","[981467281795399680, 981446692095647744]","2"
"2018-04-05","[240.0, 285.0, 443.0]","3","[981898971495968768, 981898210707955712, 981698082571280385]","3"
"2018-04-06","[247.0, 248.0, 249.0, 266.0]","4","[]","0"
"2018-04-07","[226.0, 228.0, 251.0, 252.0, 369.0]","5","[]","0"
"2018-04-08","[267.0, 280.0, 281.0, 282.0, 371.0, 410.0]","6","[982999252522622977, 982989992162201600, 982893349890764801]","3"
"2018-04-09","[358.0, 360.0, 451.0, 452.0, 475.0, 760.0]","6","[983320061963309056, 983306516756221957]","2"
"2018-04-10","[359.0, 391.0, 491.0, 547.0]","4","[983739704033136640, 983682354093977601, 983629256990261249, 983628462014394368]","4"
"2018-04-11","[222.0, 223.0, 227.0, 400.0, 408.0, 409.0, 421.0, 422.0, 463.0, 497.0]","10","[983974380391796736]","1"
"2018-04-12","[221.0, 274.0, 275.0, 276.0, 327.0, 394.0, 429.0, 470.0, 471.0, 472.0, 473.0, 474.0]","12","[984447968081260544, 984404262166855682, 984380611824619520, 984376437858865152, 984371351740968961, 984371149344854017]","6"
"2018-04-13","[224.0, 225.0, 230.0, 407.0, 415.0, 416.0, 428.0, 430.0, 431.0, 432.0, 457.0]","11","[984889474629939202, 984879875663147008, 984769975721320449, 984649024333529088]","4"
"2018-04-14","[277.0, 300.0, 316.0, 393.0, 395.0, 402.0, 440.0, 485.0]","8","[985031737767088128]","1"
"2018-04-15","[299.0, 374.0, 375.0, 396.0, 403.0, 404.0, 405.0, 406.0, 417.0, 418.0]","10","[985616286364372992, 985616066238959618, 985535492237209600, 985473129140146176]","4"
"2018-04-16","[384.0, 476.0, 477.0]","3","[985876675043864576, 985793311079260160]","2"
"2018-04-17","[260.0, 273.0, 308.0, 331.0, 399.0, 501.0]","6","[986180588418641922]","1"
"2018-04-18","[256.0, 257.0, 258.0, 261.0, 262.0, 264.0, 265.0, 398.0]","8","[986686175027937280]","1"
